ImageName,Image_datetime,Average Pressure (hPa),Standard Deviation (hPa)
IMG_4817,04.03.2024 12:30,nan,nan
IMG_4818,04.03.2024 12:34,nan,nan
IMG_4829,04.03.2024 13:02,nan,nan
IMG_4831,04.03.2024 13:02,nan,nan
IMG_4833,04.03.2024 13:03,nan,nan
IMG_4858,04.03.2024 13:19,nan,nan
IMG_4859,04.03.2024 13:19,nan,nan
IMG_4860,04.03.2024 13:19,nan,nan
IMG_4953,05.03.2024 12:29,1008.531,0.008
IMG_4955,05.03.2024 12:30,1008.514,0.016
IMG_4956,05.03.2024 12:34,1008.538,0.013
IMG_4959,05.03.2024 12:35,1008.546,0.005
IMG_4963,05.03.2024 12:35,1008.546,0.005
IMG_4965,05.03.2024 12:35,1008.546,0.005
IMG_4966,05.03.2024 12:35,1008.546,0.005
IMG_4967,05.03.2024 12:35,1008.546,0.005
IMG_4969,05.03.2024 12:35,1008.546,0.005
IMG_4974,05.03.2024 12:42,1008.602,0.010
IMG_4975,05.03.2024 12:42,1008.602,0.010
IMG_4981,05.03.2024 12:42,1008.602,0.010
IMG_4982,05.03.2024 12:42,1008.602,0.010
IMG_4985,05.03.2024 12:43,1008.611,0.004
IMG_4989,05.03.2024 12:43,1008.611,0.004
IMG_5020,05.03.2024 13:18,1008.676,0.009
IMG_5023,05.03.2024 13:19,1008.675,0.011
IMG_5024,05.03.2024 13:19,1008.675,0.011
IMG_5030,05.03.2024 13:19,1008.675,0.011
IMG_5034,05.03.2024 13:26,1008.668,0.017
IMG_5036,05.03.2024 13:26,1008.668,0.017
IMG_5037,05.03.2024 13:26,1008.668,0.017
IMG_5038,05.03.2024 13:26,1008.668,0.017
IMG_5041,05.03.2024 13:26,1008.668,0.017
IMG_5042,05.03.2024 13:27,1008.654,0.003
IMG_5043,05.03.2024 13:27,1008.654,0.003
IMG_5045,05.03.2024 13:27,1008.654,0.003
IMG_5055,05.03.2024 13:55,1008.832,0.006
IMG_5059,05.03.2024 13:56,1008.836,0.004
IMG_5061,05.03.2024 13:56,1008.836,0.004
IMG_5062,05.03.2024 13:56,1008.836,0.004
IMG_5063,05.03.2024 13:56,1008.836,0.004
IMG_5064,05.03.2024 13:56,1008.836,0.004
IMG_5065,05.03.2024 13:56,1008.836,0.004
IMG_5069,05.03.2024 14:05,1008.861,0.008
IMG_5070,05.03.2024 14:05,1008.861,0.008
IMG_5072,05.03.2024 14:05,1008.861,0.008
IMG_5075,05.03.2024 14:06,1008.853,0.005
IMG_5080,05.03.2024 14:06,1008.853,0.005
IMG_5081,05.03.2024 14:06,1008.853,0.005
IMG_5082,05.03.2024 14:06,1008.853,0.005
IMG_5083,05.03.2024 14:07,1008.851,0.002
IMG_5086,05.03.2024 14:18,1008.913,0.006
IMG_5088,05.03.2024 14:18,1008.913,0.006
IMG_5091,05.03.2024 14:18,1008.913,0.006
IMG_5092,05.03.2024 14:19,1008.910,0.008
IMG_5097,05.03.2024 14:19,1008.910,0.008
IMG_5100,05.03.2024 14:19,1008.910,0.008
IMG_5101,05.03.2024 14:19,1008.910,0.008
IMG_5108,05.03.2024 14:25,1008.835,0.008
IMG_5110,05.03.2024 14:25,1008.835,0.008
IMG_5113,05.03.2024 14:25,1008.835,0.008
IMG_5117,05.03.2024 14:26,1008.831,0.006
IMG_5122,05.03.2024 14:26,1008.831,0.006
IMG_5124,05.03.2024 14:26,1008.831,0.006
IMG_5125,05.03.2024 14:26,1008.831,0.006
IMG_5126,05.03.2024 14:26,1008.831,0.006
IMG_5129,05.03.2024 14:26,1008.831,0.006
IMG_5132,05.03.2024 14:26,1008.831,0.006
IMG_5137,06.03.2024 12:53,1017.350,0.005
IMG_5138,06.03.2024 13:26,1017.386,0.010
IMG_5139,06.03.2024 13:26,1017.386,0.010
IMG_5141,06.03.2024 13:34,1017.323,0.009
IMG_5142,06.03.2024 13:34,1017.323,0.009
IMG_5144,06.03.2024 13:35,1017.309,0.014
IMG_5145,06.03.2024 13:35,1017.309,0.014
IMG_5146,06.03.2024 13:35,1017.309,0.014
